date,world_name,ranking,character_name,character_level,character_exp,class_name,sub_class_name,character_popularity,character_guildname
2023-12-22,루나,1,오지환,295,864382134677378,프렌즈 월드,키네시스,28657,자상
2023-12-22,스카니아,2,단솜,295,322720843034331,기사단,윈드브레이커,3039,봄연
2023-12-22,크로아,3,솝상,294,180734648170034,마법사,비숍,1459,생글
2023-12-22,스카니아,4,초코티,294,142454182319865,팬텀,,32131,봄봄
2023-12-22,제니스,5,보마노랑이,294,48442093095441,궁수,보우마스터,55939,달치즈
2023-12-22,크로아,6,식초,294,47469751700373,도적,듀얼블레이더,81626,프로포즈
2023-12-22,루나,7,승준,294,24543005167386,팬텀,,468,SiniSter
2023-12-22,이노시스,8,테룽이,293,370569617881467,카이저,,1108,프라하
2023-12-22,베라,9,압도,293,294171961878638,도적,듀얼블레이더,2005,반달
2023-12-22,오로라,10,시바개,293,236925035429476,아란,,4372,아름다움
2023-12-22,엘리시움,11,버터,293,163499976369312,도적,나이트로드,350,
2023-12-22,루나,12,쀼챠,293,53985816855048,초월자,제로,53406,도로시
2023-12-22,루나,13,민창,293,3080438538265,도적,듀얼블레이더,357,루나
2023-12-22,엘리시움,14,케인WWE챔프,292,298447968819876,레지스탕스,배틀메이지,15369,
2023-12-22,엘리시움,15,헨쇼,292,268952147841331,아델,,220,
2023-12-22,엘리시움,16,벨벨,292,195124693575086,기사단,스트라이커,12016,
2023-12-22,제니스,17,보나냥냥,292,141139072585846,레지스탕스,제논,9767,
2023-12-22,루나,18,옵드,292,100654144494116,은월,,683,욘석들
2023-12-22,이노시스,19,혜넹,292,95222347980651,일리움,,4004,프라하
2023-12-22,크로아,20,별왕,292,93182102670587,카데나,,258,Dream
2023-12-22,루나,21,푸우,292,56662796163802,아델,,4657,지존
2023-12-22,제니스,22,o우르키오라o,292,44074838682387,은월,,2055,에우로파
2023-12-22,크로아,23,징베,292,34046828143019,해적,캡틴,264,간달프
2023-12-22,루나,24,거짓,292,1914562364453,에반,,16395,커피
2023-12-22,루나,25,몽둥이여사님,292,482417375207,마법사,비숍,2188,Cross
2023-12-22,루나,26,허경영,292,64356169972,레지스탕스,메카닉,165,xinkule
2023-12-22,크로아,27,빅시커,291,315494415836866,엔젤릭버스터,,803,지존
2023-12-22,엘리시움,28,영준,291,315286177898826,엔젤릭버스터,,1839,
2023-12-22,오로라,29,가을씨,291,314741854526671,루미너스,,342,로밍
2023-12-22,베라,30,최무등,291,263932681398963,궁수,패스파인더,513,순애
2023-12-22,베라,31,김솔밤,291,259024775350836,전사,다크나이트,696,Real
2023-12-22,스카니아,32,가람,291,255860275628369,기사단,소울마스터,99999,찌찌찌
2023-12-22,크로아,33,피거,291,244981235321905,레지스탕스,와일드헌터,17583,생글
2023-12-22,크로아,34,엑스퍼트,291,244461534763559,해적,바이퍼,4348,트러플
2023-12-22,스카니아,35,돌떡,291,216902259176552,전사,히어로,390,레전드
2023-12-22,엘리시움,36,갠갈,291,211949708132185,도적,듀얼블레이더,10477,
2023-12-22,스카니아,37,초기,291,211192097849111,도적,나이트로드,30375,사랑
2023-12-22,제니스,38,암거그,291,197012520804955,아란,,953,모델
2023-12-22,엘리시움,39,곤주,291,191315939657995,마법사,"아크메이지(불,독)",1231,
2023-12-22,크로아,40,Chaos,291,185312496764707,프렌즈 월드,키네시스,17312,허니
2023-12-22,스카니아,41,거대똥파리,291,172403005252676,아델,,1029,딜리아
2023-12-22,스카니아,42,걍조,291,167409950451994,도적,듀얼블레이더,15247,사랑
2023-12-22,베라,43,히나,291,159106545441174,초월자,제로,5680,Post
